Meal,Restaurant,Price,Rating,Latitude,Longitude,Full Address
Big Mac Burger,McDonald's,7.1,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Big Mac Burger,McDonald's,7.1,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Big Mac Burger,McDonald's,7.1,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Big Mac Burger,McDonald's,7.1,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Big Mac Burger,McDonald's,7.1,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Big Mac Burger,McDonald's,7.1,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Big Mac Burger,McDonald's,7.1,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Big Mac Burger,McDonald's,7.1,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Big Mac Burger,McDonald's,7.1,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Big Mac Burger,McDonald's,7.1,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Big Mac Burger,McDonald's,7.1,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Quarter Pounder Burger with Cheese,McDonald's,7.1,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Quarter Pounder Burger with Cheese,McDonald's,7.1,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Quarter Pounder Burger with Cheese,McDonald's,7.1,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Quarter Pounder Burger with Cheese,McDonald's,7.1,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Quarter Pounder Burger with Cheese,McDonald's,7.1,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Quarter Pounder Burger with Cheese,McDonald's,7.1,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Quarter Pounder Burger with Cheese,McDonald's,7.1,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Quarter Pounder Burger with Cheese,McDonald's,7.1,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Quarter Pounder Burger with Cheese,McDonald's,7.1,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Quarter Pounder Burger with Cheese,McDonald's,7.1,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Quarter Pounder Burger with Cheese,McDonald's,7.1,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
McCrispy Burger,McDonald's,7.7,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
McCrispy Burger,McDonald's,7.7,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
McCrispy Burger,McDonald's,7.7,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
McCrispy Burger,McDonald's,7.7,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
McCrispy Burger,McDonald's,7.7,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
McCrispy Burger,McDonald's,7.7,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
McCrispy Burger,McDonald's,7.7,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
McCrispy Burger,McDonald's,7.7,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
McCrispy Burger,McDonald's,7.7,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
McCrispy Burger,McDonald's,7.7,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
McCrispy Burger,McDonald's,7.7,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
McSpicy Burger,McDonald's,7.4,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
McSpicy Burger,McDonald's,7.4,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
McSpicy Burger,McDonald's,7.4,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
McSpicy Burger,McDonald's,7.4,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
McSpicy Burger,McDonald's,7.4,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
McSpicy Burger,McDonald's,7.4,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
McSpicy Burger,McDonald's,7.4,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
McSpicy Burger,McDonald's,7.4,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
McSpicy Burger,McDonald's,7.4,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
McSpicy Burger,McDonald's,7.4,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
McSpicy Burger,McDonald's,7.4,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Cheeseburger,McDonald's,2.4,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Cheeseburger,McDonald's,2.4,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Cheeseburger,McDonald's,2.4,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Cheeseburger,McDonald's,2.4,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Cheeseburger,McDonald's,2.4,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Cheeseburger,McDonald's,2.4,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Cheeseburger,McDonald's,2.4,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Cheeseburger,McDonald's,2.4,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Cheeseburger,McDonald's,2.4,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Cheeseburger,McDonald's,2.4,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Cheeseburger,McDonald's,2.4,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Mayo Chicken Burger,McDonald's,2.4,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Mayo Chicken Burger,McDonald's,2.4,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Mayo Chicken Burger,McDonald's,2.4,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Mayo Chicken Burger,McDonald's,2.4,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Mayo Chicken Burger,McDonald's,2.4,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Mayo Chicken Burger,McDonald's,2.4,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Mayo Chicken Burger,McDonald's,2.4,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Mayo Chicken Burger,McDonald's,2.4,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Mayo Chicken Burger,McDonald's,2.4,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Mayo Chicken Burger,McDonald's,2.4,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Mayo Chicken Burger,McDonald's,2.4,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
McChicken Sandwich,McDonald's,6.9,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
McChicken Sandwich,McDonald's,6.9,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
McChicken Sandwich,McDonald's,6.9,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
McChicken Sandwich,McDonald's,6.9,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
McChicken Sandwich,McDonald's,6.9,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
McChicken Sandwich,McDonald's,6.9,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
McChicken Sandwich,McDonald's,6.9,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
McChicken Sandwich,McDonald's,6.9,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
McChicken Sandwich,McDonald's,6.9,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
McChicken Sandwich,McDonald's,6.9,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
McChicken Sandwich,McDonald's,6.9,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Hamburger,McDonald's,2.1,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Hamburger,McDonald's,2.1,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Hamburger,McDonald's,2.1,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Hamburger,McDonald's,2.1,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Hamburger,McDonald's,2.1,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Hamburger,McDonald's,2.1,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Hamburger,McDonald's,2.1,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Hamburger,McDonald's,2.1,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Hamburger,McDonald's,2.1,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Hamburger,McDonald's,2.1,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Hamburger,McDonald's,2.1,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
McPlant Burger,McDonald's,7.1,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
McPlant Burger,McDonald's,7.1,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
McPlant Burger,McDonald's,7.1,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
McPlant Burger,McDonald's,7.1,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
McPlant Burger,McDonald's,7.1,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
McPlant Burger,McDonald's,7.1,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
McPlant Burger,McDonald's,7.1,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
McPlant Burger,McDonald's,7.1,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
McPlant Burger,McDonald's,7.1,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
McPlant Burger,McDonald's,7.1,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
McPlant Burger,McDonald's,7.1,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Filet-O-Fish Burger,McDonald's,6.9,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Filet-O-Fish Burger,McDonald's,6.9,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Filet-O-Fish Burger,McDonald's,6.9,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Filet-O-Fish Burger,McDonald's,6.9,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Filet-O-Fish Burger,McDonald's,6.9,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Filet-O-Fish Burger,McDonald's,6.9,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Filet-O-Fish Burger,McDonald's,6.9,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Filet-O-Fish Burger,McDonald's,6.9,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Filet-O-Fish Burger,McDonald's,6.9,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Filet-O-Fish Burger,McDonald's,6.9,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Filet-O-Fish Burger,McDonald's,6.9,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Vegetable Deluxe Burger,McDonald's,7,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Vegetable Deluxe Burger,McDonald's,7,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Vegetable Deluxe Burger,McDonald's,7,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Vegetable Deluxe Burger,McDonald's,7,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Vegetable Deluxe Burger,McDonald's,7,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Vegetable Deluxe Burger,McDonald's,7,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Vegetable Deluxe Burger,McDonald's,7,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Vegetable Deluxe Burger,McDonald's,7,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Vegetable Deluxe Burger,McDonald's,7,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Vegetable Deluxe Burger,McDonald's,7,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Vegetable Deluxe Burger,McDonald's,7,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Hot Apple Pie,McDonald's,2.5,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Hot Apple Pie,McDonald's,2.5,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Hot Apple Pie,McDonald's,2.5,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Hot Apple Pie,McDonald's,2.5,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Hot Apple Pie,McDonald's,2.5,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Hot Apple Pie,McDonald's,2.5,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Hot Apple Pie,McDonald's,2.5,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Hot Apple Pie,McDonald's,2.5,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Hot Apple Pie,McDonald's,2.5,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Hot Apple Pie,McDonald's,2.5,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Hot Apple Pie,McDonald's,2.5,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Sugar Donut,McDonald's,2.4,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Sugar Donut,McDonald's,2.4,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Sugar Donut,McDonald's,2.4,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Sugar Donut,McDonald's,2.4,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Sugar Donut,McDonald's,2.4,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Sugar Donut,McDonald's,2.4,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Sugar Donut,McDonald's,2.4,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Sugar Donut,McDonald's,2.4,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Sugar Donut,McDonald's,2.4,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Sugar Donut,McDonald's,2.4,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Sugar Donut,McDonald's,2.4,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Toffee Crisp McFlurry Ice Cream,McDonald's,4.1,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Smarties McFlurry Ice Cream,McDonald's,3.6,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Smarties McFlurry Ice Cream,McDonald's,3.6,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Smarties McFlurry Ice Cream,McDonald's,3.6,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Smarties McFlurry Ice Cream,McDonald's,3.6,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Smarties McFlurry Ice Cream,McDonald's,3.6,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Smarties McFlurry Ice Cream,McDonald's,3.6,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Smarties McFlurry Ice Cream,McDonald's,3.6,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Smarties McFlurry Ice Cream,McDonald's,3.6,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Smarties McFlurry Ice Cream,McDonald's,3.6,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Smarties McFlurry Ice Cream,McDonald's,3.6,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Smarties McFlurry Ice Cream,McDonald's,3.6,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Oreo McFlurry Ice Cream,McDonald's,3.6,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Oreo McFlurry Ice Cream,McDonald's,3.6,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Oreo McFlurry Ice Cream,McDonald's,3.6,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Oreo McFlurry Ice Cream,McDonald's,3.6,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Oreo McFlurry Ice Cream,McDonald's,3.6,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Oreo McFlurry Ice Cream,McDonald's,3.6,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Oreo McFlurry Ice Cream,McDonald's,3.6,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Oreo McFlurry Ice Cream,McDonald's,3.6,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Oreo McFlurry Ice Cream,McDonald's,3.6,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Oreo McFlurry Ice Cream,McDonald's,3.6,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Oreo McFlurry Ice Cream,McDonald's,3.6,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Small Fries,McDonald's,3.6,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
Small Fries,McDonald's,3.6,3,53.3432502,-6.2595913,"9-10, Grafton Street, Dublin, D02 RW35"
Small Fries,McDonald's,3.6,3.7,53.348762,-6.2663029,"14/16 Mary St, North City, Dublin 1, D01 DH59"
Small Fries,McDonald's,3.6,,53.3502541,-6.2609146,"62 O'Connell Street Upper, North City, Dublin 1, D01 TV20"
Small Fries,McDonald's,3.6,,53.3499889,-6.2647379,"Unit 67, Ilac Shopping Center, Parnell St, North City, Dublin, D01 CD54"
Small Fries,McDonald's,3.6,2.6,53.3481882,-6.266279,"23 Jervis St, North City, Dublin, D01 TH72"
Small Fries,McDonald's,3.6,2.3,53.3551831,-6.229539,"E Wall Rd, East Wall, Dublin, D03 DK29"
Small Fries,McDonald's,3.6,3,53.3235431,-6.265295,"Swan Shopping Centre, Rathmines Rd Lower, Rathmines, Dublin 6"
Small Fries,McDonald's,3.6,,53.3620529,-6.2725462,"144/145 Phibsborough Rd, Cabra East, Dublin, D07 T660"
Small Fries,McDonald's,3.6,,53.3924195,-6.2482747,"Omni Park Shopping Centre, Santry, Dublin, D09 HD60"
Small Fries,McDonald's,3.6,,53.3836804,-6.2149494,"Artane Castle Shopping Centre, Kilmore Rd, Dublin"
Medium Fries,McDonald's,4.1,2.6,53.3458886,-6.2634549,"Fownes St Lower, Temple Bar, Dublin"
